time,temperature,microbe
1.5,76,-0.036655193
2,76,-0.679276258
2.5,76,-1.592873507
3,76,-2.392389646
4,76,-3.718083064
5,76,-4.826113563
6,76,-5.798605889
7,76,-6.66323726
8,76,-7.378271173
1.5,77,-0.048014947
2,77,-0.899359579
2.5,77,-1.948132845
3,77,-2.832624436
4,77,-4.290727476
5,77,-5.507707274
6,77,-6.564613373
7,77,-7.418762736
8,77,-7.866755787
1.5,78,-0.069016022
2,78,-1.158197807
2.5,78,-2.325531795
3,78,-3.290522131
4,78,-4.878698212
5,78,-6.199812015
6,78,-7.28269309
7,78,-7.863563054
8,78,-7.98333948
1.5,79,-0.094629504
2,79,-1.424772954
2.5,79,-2.70196967
3,79,-3.747302782
4,79,-5.466202876
5,79,-6.872101109
6,79,-7.776364053
7,79,-7.979594011
8,79,-7.998169394
1.5,80,-0.129270299
2,80,-1.70162642
2.5,80,-3.082597684
3,80,-4.207706717
4,80,-6.054778381
5,80,-7.460730331
6,80,-7.95603722
7,80,-7.997314425
8,80,-7.999804155
